id,OBJECTID,FULL_,GEOID,LABEL,STATEFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
47,48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,41.0,7157.0,572.87,36.0,5.0,3.0,3.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.584674359648034,3.28545636703058
48,49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,24.0,9663.0,248.37,24.0,0.0,1.0,1.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.107815475126699,1.7200936574538
49,50,Logan County,08075,Logan,08,LOGAN,075,643.0,21854.0,2942.25,643.0,0.0,5.0,5.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.509315868637259,2.98709243190606
50,51,Washington County,08121,Washington,08,WASHINGTON,121,46.0,4729.0,972.72,46.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.689156198508726,3.59641099493637
51,52,Douglas County,08035,Douglas,08,DOUGLAS,035,1433.0,342842.0,417.98,1410.0,23.0,55.0,54.0,1.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.228049517556883,2.24626729887819
52,53,Conejos County,08021,Conejos,08,CONEJOS,021,21.0,8136.0,258.11,21.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.339368543220644,2.79157037289597
53,54,El Paso County,08041,El Paso,08,EL PASO,041,3864.0,714395.0,540.88,3786.0,78.0,122.0,122.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.57220360663473,3.26110555570835
54,55,Kiowa County,08061,Kiowa,08,KIOWA,061,0.0,1373.0,0.0,0.0,0.0,,,,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.477252055292865,3.61712328220314
55,56,Teller County,08119,Teller,08,TELLER,119,89.0,25060.0,355.15,87.0,2.0,2.0,2.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.150289940799894,1.82234496665049
56,57,Gunnison County,08051,Gunnison,08,GUNNISON,051,216.0,17173.0,1257.79,216.0,0.0,6.0,6.0,0.0,42314,5694287,743.1,1786,1645,6149,467726,594731,63,452,Colorado Department of Public Health and Environment,"Data through July 22, 2020",0.873850227878847,5.3534077502362
